Nimeke;ISSN/NBN;Digitoitu (avoin käyttö);Digitoitu (rajattu käyttö);Ilmestynyt vuosina;Digitointi-%;Niteitä;Sivuja;URL;Puoluekanta;Puoluekanta2 (alkupvm-loppupvm jos tiedossa?);Kommentti;Kommentti_5;Tietolähteiden värikoodit;Puoluekanta_SV;Puoluekanta_en;Kommentti_sv;Kommentti_en
Etelä-Suomen Sanomat;0359-5056;1914 - 1929;1930 - 2015;1914 - 2019;"96;23 %";30037;580520;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0359-5056;"nuorsuomalainen; tasavaltalainen";1914 - 1918;;;1;republikan;"Young Finnish Party; republican";;
Etelä-Suomen Sanomat;0359-5057;1915 - 1929;1931 - 2015;1915 - 2019;"96;23 %";30037;580520;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0359-5056;edistyspuoluelainen;1919 - 1950;liukui 1940-luvun lopulla yleisporvarilliseksi ja konservatiivisemmaksi;;1;progress parti;National Progressive Party;;
Etelä-Suomen Sanomat;0359-5058;1916 - 1929;1932 - 2015;1916 - 2019;"96;23 %";30037;580520;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0359-5056;sitoutumaton;1951 - ;;;3;obunden;independent;;
Länsi-Savo;0356-1623;1917 - 1929;1930 - 2019;1917 - 2019;"100;00 %";29265;467623;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1623;"kansanpuoluelainen; tasavaltalainen";24.09.1917 - 06.12.1917;;;1;"folkparti; republikan";"people's party; republican";;
Länsi-Savo;0356-1624;1918 - 1929;1930 - 2019;1917 - 2019;"100;00 %";29265;467623;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1623;edistyspuoluelainen;09.12.1917 - 17.03.1951;1930-luvulla alkoi kehitys kohti sitoutumattomuutta;;1;progress parti;National Progressive Party;;
Länsi-Savo;0356-1625;1919 - 1929;1930 - 2019;1917 - 2019;"100;00 %";29265;467623;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1623;sitoutumaton;18.03.1951 -;Länsi-Savo 09.01.2019 sivu 4;Edistyspuolue lakkautettu 17.03.1951;4;obunden;independent;Länsi-Savo 09.01.2019 sida 4;Länsi-Savo 09.01.2019 page 4
Hufvudstadsbladet;0356-0724;1864 - 1929;"1930 - 1935; 2017 - 2019";1864 - 2019;"48;08 %";28946;263999;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-0724;epäpoliittinen;1864 - ;kaupallinen yritys;;1;opolitisk;apolitical;;
Hufvudstadsbladet;0356-0725;1865 - 1929;"1931 - 1935; 2017 - 2019";1865 - 2019;"48;08 %";28946;263999;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-0724;perustuslaillinen;1899 - 1917;;;1;konstitutionell;constitutional;;
Hufvudstadsbladet;0356-0726;1866 - 1929;"1932 - 1935; 2017 - 2019";1866 - 2019;"48;08 %";28946;263999;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-0724;"sitoutumaton; porvarillinen";1971 - ;;;1;"obunden; borgerlig";"independent; conservative";;
Helsingin Sanomat;0355-2047;1904 - 1929;"1930 - 1940; 2017 - 2019";1904 - 2019;"34;48 %";13116;233160;https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-2047;nuorsuomalainen;07.07.1904 - 08.12.1918;;;1;ungfinsk parti;Young Finnish Party;;
